Category,,Imp,Imp,Imp,Imp,Imp,Imp,Imp,,Dom,Dom,Dom,Dom,Dom,Dom,Dom,,,Imp,Dom,,Imp,Dom,,Imp,Dom,,,,,,
Subcategory,,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,∑∑,C_HSLD,C_HSLD,∑,C_Ap,C_Ap,∑,FBCF,FBCF,∑,EXP,EXP_TRANSP,∑,,∑∑∑
Tax_dom,TRANSPORTATION,102.92581627608357,1173.6485645155028,5507.952814463284,2.0432857836340177,100.75728923644978,513.6575663014231,9450.180393770524,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,∑,9983.071784274278,67826.15894766456,155103.50456877664,401.1412481361659,10913.269271408946,9166.999954109986,58946.90081865991,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑∑,11493.192607366404,75527.56288214328,164422.3052440466,472.19908439279845,16260.626534183471,11994.294086523354,67888.49577642154,,,,,,,,,,,,,,,,,,,,,,,,
Tax,FBCF Imp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,FBCF Dom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,HSLD Imp,1115.6295482439396,5352.278830904261,1848.951624428121,0.0001874457462044572,444.4667396854942,230.13022194707816,4657.383990587055,,,,,,,,,,,,,,,,,,,,,,,,
Tax,HSLD Dom,4941.135786873568,25242.000024752302,120308.55891611155,0.0016675231075662148,744.7934149360956,4041.6133153002247,38687.88226635962,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑,6056.765335117507,30594.278855656565,122157.51054053968,0.001854968853770672,1189.2601546215897,4271.743537247303,43345.26625694668,,,,,,,,,,,,,,,,,,,,,,,,
Tax,AP Imp,0.05624232862357121,29.562038583161687,282.77932693046614,0.0,852.3334975428635,0.0,8.783743354210586,,,,,,,,,,,,,,,,,,,,,,,,
Tax,AP Dom,46.79624122096668,300.6577174664017,71282.09542347361,0.0,4791.946923131733,0.0,3431.5478960341543,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑,46.85248354959025,330.2197560495634,71564.87475040408,0.0,5644.280420674596,0.0,3440.3316393883647,,,,,,,,,,,,,,,,,,,,,,,,
Tax,IMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,EXP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,AUTO_TMX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,∑,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Tax,Total_TLSP,17596.810426033502,106452.06149384938,358144.69053499034,472.2009393616522,23094.167109479655,16266.037623770657,114674.09367275659,,,,,,,,,,,,,,,,,,,,,,,,
Ressource,Ressource_tot,578891.5408984704,9335435.595875502,18534307.597792972,195361.00702007563,741391.4897690093,1444462.3153802245,1395139.1360882486,,,,,,,,,,,,,,,,,,,,,,,,
