variable_name,row_label,col_label,2020,2025,2030,2035,2040,2045,2050
"a_Ej","ENERGY","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","MANUFACTURE","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","CHEMICAL","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","STEEL","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","SERVICES","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","TRANSPORTATION","PE",1,0.932014314726468,0.733595809902795,0.638637302418348,0.520744567462834,0.433133080118499,0.337607080697392
"a_Ej","AGRICULTURE","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","ENERGY","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","MANUFACTURE","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","CHEMICAL","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","STEEL","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","SERVICES","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","TRANSPORTATION","R&C",1,0.945793980104357,0.913941461235014,0.883104080714671,0.807992329785743,0.7424621203605,0.678048182279762
"a_Ej","AGRICULTURE","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","ENERGY","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","MANUFACTURE","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","CHEMICAL","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","STEEL","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","SERVICES","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"a_Ej","TRANSPORTATION","ST",1,0.910511716453267,0.808103288506725,0.733839008713565,0.661278903218769,0.603763259442588,0.559629830843905
"aYij","SERVICES","AGRICULTURE",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
"aYij","SERVICES","MANUFACTURE",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
"aYij","SERVICES","SERVICES",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
"aYij","SERVICES","STEEL",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
"aYij","SERVICES","CHEMICAL",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
"aYij","SERVICES","TRANSPORTATION",1,1.02,1.0404,1.061208,1.08243216,1.1040808032,1.126162419264
